index,test,predictions
1,441.91181,370.0098123
2,435.540776,629.448333
3,429.45608,382.5779725
4,810.85188,852.9626384
5,490.74396,478.3872782
6,656.52988,796.23716
7,428.13332,533.6965686
8,787.92404,741.4141704
9,481.48464,534.775263
10,815.26108,757.5449571
11,992.51092,782.300416
12,483.68924,492.0830198
13,384.92316,391.2706622
14,457.78519,652.1950491
15,356.26336,439.3984871
16,462.08416,597.4357073
17,708.55844,697.3256673
18,421.431336,554.2480473
19,446.21,345.3540676
20,994.2746,708.7110157
21,833.77972,687.5105803
22,464.28876,443.2745241
23,834.66156,789.8980629
24,491.18488,479.2622649
25,449.7384,595.5922373
26,1143.74648,678.6293726
27,437.83356,531.5266672
28,455.02944,409.714572
29,480.955536,558.1954123
30,747.80032,831.4802984
